Jenis Ujian,Kategori,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,Kunci Jawaban (A/B/C/D/E),Pembahasan
UPKP,TWK,Tokoh proklamator kemerdekaan Indonesia adalah...,Soekarno dan Hatta,Soekarno dan Sjahrir,Hatta dan Soedirman,Soekarno dan Agus Salim,Tan Malaka dan Soekarno,A,Kunci Jawaban: Soekarno dan Hatta
UPKP,TWK,Mata uang Indonesia diatur dalam UUD 1945 Pasal...,23,23A,23B,23C,23D,C,Kunci Jawaban: 23B
UPKP,TWK,"Bendera Negara Indonesia ialah Sang Merah Putih, diatur dalam Pasal...",35,36,36A,36B,36C,A,Kunci Jawaban: 35
UPKP,TWK,Pemilu diselenggarakan secara luber dan jurdil setiap...,4 tahun,5 tahun,6 tahun,8 tahun,10 tahun,B,Kunci Jawaban: 5 tahun
UPKP,TWK,Pahlawan nasional Pangeran Diponegoro berasal dari...,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,C,Kunci Jawaban: DI Yogyakarta
UPKP,TWK,Sistem pemerintahan Indonesia adalah...,Parlementer,Presidensial,Semiparlementer,Monarki Konstitusional,Komunis,B,Kunci Jawaban: Presidensial
UPKP,TWK,BPUPKI dibentuk pada tanggal...,1 Maret 1945,29 April 1945,1 Juni 1945,7 Agustus 1945,18 Agustus 1945,B,Kunci Jawaban: 29 April 1945
UPKP,TWK,Konferensi Meja Bundar (KMB) dilaksanakan di kota...,Jakarta,Den Haag,Amsterdam,London,Linggarjati,B,Kunci Jawaban: Den Haag
UPKP,TWK,Sistem ekonomi Indonesia diatur dalam UUD 1945 Pasal...,27,28,31,33,34,D,Kunci Jawaban: 33
UPKP,TWK,Hak asasi manusia diatur secara khusus dalam UUD 1945 Bab...,IX,X,XA,XI,XII,C,Kunci Jawaban: XA
UPKP,TWK,Kabinet pertama yang dibentuk setelah proklamasi dipimpin oleh...,Soekarno,Hatta,Sjahrir,Amir Sjarifuddin,Natsir,A,Kunci Jawaban: Soekarno
UPKP,TWK,Pancasila sebagai pandangan hidup bangsa berfungsi untuk...,Menjadi hukum tertinggi,Mengarahkan tingkah laku bangsa,Menjadi dasar hubungan luar negeri,Memecah belah bangsa,Menciptakan kekayaan,B,Kunci Jawaban: Mengarahkan tingkah laku bangsa
UPKP,TWK,Yang tidak termasuk dalam nilai-nilai Pancasila adalah...,Ketuhanan,Kemanusiaan,Individualisme,Kerakyatan,Keadilan,C,Kunci Jawaban: Individualisme
UPKP,TWK,Perumusan dasar negara pertama kali dikemukakan pada sidang...,PPKI Pertama,PPKI Kedua,BPUPKI Pertama,BPUPKI Kedua,KNIP,C,Kunci Jawaban: BPUPKI Pertama
UPKP,TWK,Sila kedua Pancasila menekankan pada prinsip...,Religius,Humanisme,Nasionalisme,Demokrasi,Sosialisme,B,Kunci Jawaban: Humanisme
UPKP,TWK,Garis batas laut teritorial Indonesia adalah sejauh...,12 mil,24 mil,200 mil,350 mil,Bebas,A,Kunci Jawaban: 12 mil
UPKP,TWK,Anggota MPR terdiri dari...,Anggota DPR dan Menteri,Anggota DPR dan DPD,Anggota DPD dan Presiden,Menteri dan Hakim,Gubernur dan DPR,B,Kunci Jawaban: Anggota DPR dan DPD
UPKP,TWK,Kekuasaan yudikatif di Indonesia dipegang oleh...,MPR dan DPR,Presiden dan Wakil Presiden,MA dan MK,BPK dan KPK,Polri dan TNI,C,Kunci Jawaban: MA dan MK
UPKP,TWK,Asas kewarganegaraan berdasarkan tempat kelahiran disebut...,Ius Sanguinis,Ius Soli,Naturalisasi,Bipatride,Apatride,B,Kunci Jawaban: Ius Soli
UPKP,TWK,Kalimat yang menggunakan ragam bahasa baku dengan tepat adalah...,Dia merubah jadwal rapat tanpa pemberitahuan.,Kami mengantri sejak pagi buta.,Pemerintah memfokuskan perhatian pada pendidikan.,Mereka menterjemahkan buku itu ke bahasa Indonesia.,Ayah membeli obat di apotik.,C,Kunci Jawaban: Pemerintah memfokuskan perhatian pada pendidikan.
UPKP,TKT,"Dalam kerangka Good Governance, prinsip yang mengharuskan setiap kegiatan dapat dipertanggungjawabkan disebut...",Akuntabilitas,Transparansi,Responsivitas,Keadilan,Efektivitas dan Efisiensi,A,Kunci Jawaban: Akuntabilitas
UPKP,TKT,Salah satu unsur penting dalam pelayanan publik yang prima adalah...,Mempersulit birokrasi,"Kecepatan, ketepatan, dan keramahan",Fasilitas mewah,Menunggu antrian yang panjang,Menaikkan biaya layanan,B,"Kunci Jawaban: Kecepatan, ketepatan, dan keramahan"
UPKP,TKT,Undang-Undang Nomor 5 Tahun 2014 mengatur tentang...,Pelayanan Publik,Aparatur Sipil Negara (ASN),Keterbukaan Informasi Publik,Pemerintahan Daerah,Keuangan Negara,B,Kunci Jawaban: Aparatur Sipil Negara (ASN)
UPKP,TKT,Sistem merit dalam manajemen ASN berdasarkan pada...,"Kualifikasi, kompetensi, dan kinerja",Kedekatan politik,Masa kerja semata,Daerah asal,Garis keturunan,A,"Kunci Jawaban: Kualifikasi, kompetensi, dan kinerja"
UPKP,TKT,Berikut ini yang BUKAN merupakan nilai dasar ASN (BerAKHLAK) adalah...,Berorientasi Pelayanan,Akuntabel,Kompeten,Hierarkis,Adaptif,D,Kunci Jawaban: Hierarkis
UPKP,TKT,Nilai 'Harmonis' dalam BerAKHLAK bermakna...,Memenuhi janji,Terus belajar,Saling peduli dan menghargai perbedaan,Berdedikasi tinggi,Berinovasi,C,Kunci Jawaban: Saling peduli dan menghargai perbedaan
UPKP,TKT,Penyelenggara pelayanan publik diwajibkan menyusun dan menetapkan...,Standar Pelayanan,Laporan Rahasia,Anggaran Tidak Terbatas,Aturan Diskriminatif,Birokrasi Rumit,A,Kunci Jawaban: Standar Pelayanan
UPKP,TKT,Prinsip transparansi dalam pelayanan publik bertujuan untuk...,Menyembunyikan data,Memberikan kemudahan akses informasi bagi masyarakat,Mempersulit prosedur,Menambah tahapan birokrasi,Meningkatkan biaya,B,Kunci Jawaban: Memberikan kemudahan akses informasi bagi masyarakat
UPKP,TKT,Mekanisme pengaduan masyarakat dalam pelayanan publik berfungsi sebagai sarana...,Pencitraan instansi,Evaluasi dan perbaikan kinerja,Mencari kesalahan pegawai,Mengurangi jam kerja,Formalitas belaka,B,Kunci Jawaban: Evaluasi dan perbaikan kinerja
UPKP,TKT,Ombudsman Republik Indonesia memiliki tugas utama...,Mengaudit keuangan negara,Mengawasi penyelenggaraan pelayanan publik,Membuat undang-undang,Mengadili sengketa pemilu,Mengurus administrasi kepegawaian,B,Kunci Jawaban: Mengawasi penyelenggaraan pelayanan publik
UPKP,TKT,Pemberhentian ASN secara tidak hormat dapat terjadi apabila...,Memasuki batas usia pensiun,Meninggal dunia,Melakukan tindak pidana korupsi yang berkekuatan hukum tetap,Perampingan organisasi,Sakit lebih dari 1 bulan,C,Kunci Jawaban: Melakukan tindak pidana korupsi yang berkekuatan hukum tetap
UPKP,TKT,Cuti Pegawai Negeri Sipil (PNS) diatur dalam regulasi BKN. Manakah yang BUKAN jenis cuti PNS?,Cuti Tahunan,Cuti Sakit,Cuti Besar,Cuti Alasan Penting,Cuti Mengajar,E,Kunci Jawaban: Cuti Mengajar
UPKP,TKT,Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) diangkat untuk jangka waktu paling singkat...,1 tahun,2 tahun,3 tahun,4 tahun,5 tahun,A,Kunci Jawaban: 1 tahun
UPKP,TKT,Sikap netralitas ASN di masa pemilihan umum berarti...,Tidak memiliki hak pilih,Boleh berkampanye menggunakan fasilitas negara,Tidak berpihak dari segala bentuk pengaruh manapun dan tidak memihak kepada kepentingan siapapun,Menjadi pengurus partai politik,Memaksa orang lain memilih calon tertentu,C,Kunci Jawaban: Tidak berpihak dari segala bentuk pengaruh manapun dan tidak memihak kepada kepentingan siapapun
UPKP,TKT,Kinerja ASN dinilai berdasarkan sasaran kerja pegawai (SKP) dan...,Masa kerja,Perilaku kerja,Jumlah kekayaan,Koneksi politik,Tingkat pendidikan akhir,B,Kunci Jawaban: Perilaku kerja
UPKP,TKT,Sanksi disiplin berat bagi ASN yang melanggar kewajiban diberikan oleh...,Rekan kerja,Pejabat Pembina Kepegawaian (PPK),Masyarakat,LSM,Polisi,B,Kunci Jawaban: Pejabat Pembina Kepegawaian (PPK)
UPKP,TKT,Kebijakan publik dibuat dengan tujuan utama untuk...,Menguntungkan pejabat,Menyelesaikan masalah publik dan mencapai tujuan nasional,Menghabiskan anggaran,Memenangkan pemilu,Meningkatkan impor,B,Kunci Jawaban: Menyelesaikan masalah publik dan mencapai tujuan nasional
UPKP,TKT,Tahap awal dalam siklus pembuatan kebijakan publik adalah...,Formulasi kebijakan,Implementasi kebijakan,Penyusunan agenda (Agenda setting),Evaluasi kebijakan,Terminasi kebijakan,C,Kunci Jawaban: Penyusunan agenda (Agenda setting)
UPKP,TKT,Evaluasi kebijakan publik penting dilakukan untuk...,Menemukan siapa yang salah,Menilai apakah kebijakan mencapai tujuan yang diinginkan,Memperpanjang masa jabatan,Menaikkan pajak,Menghentikan semua program pemerintah,B,Kunci Jawaban: Menilai apakah kebijakan mencapai tujuan yang diinginkan
UPKP,TKT,Sistem Akuntabilitas Kinerja Instansi Pemerintah (SAKIP) bertujuan untuk...,Meningkatkan transparansi dan kinerja instansi,Menyembunyikan kelemahan birokrasi,Mencetak laporan palsu,Mengurangi gaji pegawai,Memperbanyak rapat koordinasi,A,Kunci Jawaban: Meningkatkan transparansi dan kinerja instansi
UPKP,TKT,"Dokumen yang memuat visi, misi, dan program kepala daerah disebut...",APBD,RPJMD,RKPD,RENSTRA,RENJA,B,Kunci Jawaban: RPJMD
UPKP,TKT,Laporan Kinerja Instansi Pemerintah (LKjIP) disusun sebagai bentuk...,Formalitas tahunan,Pertanggungjawaban atas capaian kinerja,Permintaan tambahan anggaran,Syarat kenaikan pangkat,Buku kenangan,B,Kunci Jawaban: Pertanggungjawaban atas capaian kinerja
UPKP,TKT,"Korupsi, Kolusi, dan Nepotisme (KKN) sangat bertentangan dengan prinsip Good Governance, terutama pada aspek...",Integritas dan Akuntabilitas,Hierarki jabatan,Pembagian kerja,Koordinasi tim,Disiplin waktu,A,Kunci Jawaban: Integritas dan Akuntabilitas
UPKP,TKT,Penggunaan fasilitas kantor untuk kepentingan pribadi merupakan bentuk pelanggaran terhadap...,Hak asasi manusia,Etika publik dan integritas ASN,Sistem merit,Kebebasan berpendapat,Aturan jam kerja,B,Kunci Jawaban: Etika publik dan integritas ASN
UPKP,TKT,Tindakan *whistleblowing* dalam birokrasi adalah tindakan...,Melaporkan dugaan pelanggaran hukum/etika yang terjadi di instansi,Membocorkan rahasia negara ke musuh,Membuat keributan tanpa alasan,Menyembunyikan kesalahan pimpinan,Mengabaikan perintah atasan,A,Kunci Jawaban: Melaporkan dugaan pelanggaran hukum/etika yang terjadi di instansi
UPKP,TSI,Visi Badan Pusat Statistik (BPS) adalah...,Penyedia Data Statistik Berkualitas untuk Indonesia Maju,Pusat Data Statistik Ekonomi Terpercaya,Membangun Statistik Nasional Berstandar Global,Badan Pencatat Penduduk Terbaik di Asia,Pelopor Sensus Digital di Dunia,A,Kunci Jawaban: Penyedia Data Statistik Berkualitas untuk Indonesia Maju
UPKP,TSI,Misi BPS yang berkaitan dengan pelayanan adalah...,Menyediakan data statistik berkualitas melalui kegiatan statistik yang terintegrasi dan berstandar nasional maupun internasional,Menghasilkan keuntungan dari penjualan data,Memperbanyak jumlah kantor cabang di seluruh dunia,Hanya menyediakan data makro ekonomi,Melakukan sensus setiap tahun,A,Kunci Jawaban: Menyediakan data statistik berkualitas melalui kegiatan statistik yang terintegrasi dan berstandar nasional maupun internasional
UPKP,TSI,Sistem Perencanaan Pembangunan Nasional (SPPN) diatur dalam Undang-Undang nomor...,UU No. 25 Tahun 2004,UU No. 32 Tahun 2004,UU No. 17 Tahun 2003,UU No. 14 Tahun 2008,UU No. 5 Tahun 2014,A,Kunci Jawaban: UU No. 25 Tahun 2004
UPKP,TSI,Sensus Penduduk di Indonesia idealnya dilaksanakan setiap...,1 tahun sekali,5 tahun sekali,10 tahun sekali,15 tahun sekali,20 tahun sekali,C,Kunci Jawaban: 10 tahun sekali
UPKP,TSI,Kegiatan pengumpulan data yang hanya mencakup sebagian dari populasi disebut...,Sensus,Survei,Registrasi,Kompilasi,Eksperimen,B,Kunci Jawaban: Survei
UPKP,TSI,"Berdasarkan UU No 16 Tahun 1997, Statistik dikelompokkan menjadi tiga jenis, yaitu...","Statistik Dasar, Sektoral, dan Khusus","Statistik Makro, Mikro, dan Menengah","Statistik Ekonomi, Sosial, dan Demografi","Statistik Primer, Sekunder, dan Tersier","Statistik Kualitatif, Kuantitatif, dan Campuran",A,"Kunci Jawaban: Statistik Dasar, Sektoral, dan Khusus"
UPKP,TSI,Penyelenggara statistik dasar di Indonesia adalah...,Kementerian teknis,Pemerintah Daerah,Badan Pusat Statistik (BPS),Lembaga Swadaya Masyarakat,Universitas,C,Kunci Jawaban: Badan Pusat Statistik (BPS)
UPKP,TSI,Statistik sektoral diselenggarakan oleh...,BPS,Instansi pemerintah/kementerian sesuai lingkup tugasnya,Masyarakat luas,Perusahaan swasta,Organisasi internasional,B,Kunci Jawaban: Instansi pemerintah/kementerian sesuai lingkup tugasnya
UPKP,TSI,Statistik khusus diselenggarakan oleh...,BPS,Pemerintah Daerah,Lembaga/organisasi kemasyarakatan atau perorangan,Kementerian Keuangan,DPR,C,Kunci Jawaban: Lembaga/organisasi kemasyarakatan atau perorangan
UPKP,TSI,Forum Koordinasi Statistik (FKS) dibentuk untuk...,Meningkatkan tumpang tindih data,Mewujudkan Sistem Statistik Nasional (SSN) yang andal,Menghapus peran BPS,Mengurangi produksi data,Menjual data ke luar negeri,B,Kunci Jawaban: Mewujudkan Sistem Statistik Nasional (SSN) yang andal
UPKP,TSI,Rencana Strategis (Renstra) BPS disusun untuk periode...,1 tahun,3 tahun,5 tahun,10 tahun,25 tahun,C,Kunci Jawaban: 5 tahun
UPKP,TSI,Salah satu sasaran strategis dalam reformasi birokrasi BPS adalah...,Birokrasi yang bersih dan akuntabel,Menaikkan gaji pegawai,Menambah hari libur,Mengurangi jam kerja operasional,Pemusatan semua kewenangan di pusat,A,Kunci Jawaban: Birokrasi yang bersih dan akuntabel
UPKP,TSI,Nilai inti (Core Values) BPS meliputi PIA. Huruf 'P' dalam PIA singkatan dari...,Pintar,Profesional,Proaktif,Peduli,Produktif,B,Kunci Jawaban: Profesional
UPKP,TSI,Huruf 'I' dalam PIA singkatan dari...,Inisiatif,Inovatif,Integritas,Ilmiah,Ikhlas,C,Kunci Jawaban: Integritas
UPKP,TSI,Huruf 'A' dalam PIA singkatan dari...,Adil,Amanah,Akuntabel,Aktif,Asertif,B,Kunci Jawaban: Amanah
UPKP,TSI,Jabatan Fungsional Statistisi dikategorikan ke dalam rumpun...,Kesehatan,Pendidikan,Matematika dan Statistika,Hukum dan Peradilan,Manajemen,C,Kunci Jawaban: Matematika dan Statistika
UPKP,TSI,Tugas pokok pejabat fungsional Statistisi adalah...,Melakukan pengamanan kantor,Mengelola administrasi kepegawaian,Melakukan kegiatan statistik,Menyusun undang-undang,Mengaudit APBN,C,Kunci Jawaban: Melakukan kegiatan statistik
UPKP,TSI,Standar operasional prosedur (SOP) di BPS bertujuan untuk...,Memperpanjang proses layanan,Membakukan langkah-langkah kerja agar efektif dan efisien,Menambah birokrasi,Menurunkan kualitas data,Membuat kerja tidak fleksibel,B,Kunci Jawaban: Membakukan langkah-langkah kerja agar efektif dan efisien
UPKP,TSI,Kepala BPS bertanggung jawab langsung kepada...,Menteri Keuangan,Menteri PPN/Bappenas,Presiden,DPR,Menko PMK,C,Kunci Jawaban: Presiden
UPKP,TSI,"Berdasarkan Perpres terkait BPS, kedudukan BPS adalah lembaga...",Kementerian,Lembaga Pemerintah Non Kementerian (LPNK),BUMN,Badan Usaha Milik Daerah,Lembaga Swadaya,B,Kunci Jawaban: Lembaga Pemerintah Non Kementerian (LPNK)
UPKP,TSI,Metadata statistik adalah...,Data yang salah,Data tentang data (informasi yang mendeskripsikan data),Data yang sudah usang,Data tanpa sumber,Data rahasia negara,B,Kunci Jawaban: Data tentang data (informasi yang mendeskripsikan data)
UPKP,TSI,Rekomendasi Statistik dari BPS harus dimiliki oleh kementerian/lembaga sebelum mereka...,Merekrut pegawai,Membangun gedung,Menyelenggarakan kegiatan statistik sektoral,Membeli perangkat komputer,Melakukan rapat koordinasi,C,Kunci Jawaban: Menyelenggarakan kegiatan statistik sektoral
UPKP,TSI,Satu Data Indonesia (SDI) bertujuan untuk...,Membuat banyak versi data untuk satu indikator,"Mewujudkan data yang akurat, mutakhir, terpadu, dan dapat dipertanggungjawabkan",Menghapus seluruh data lama,Menyembunyikan data dari masyarakat,Membatasi kewenangan BPS,B,"Kunci Jawaban: Mewujudkan data yang akurat, mutakhir, terpadu, dan dapat dipertanggungjawabkan"
UPKP,TSI,"Dalam Satu Data Indonesia (SDI), BPS bertindak sebagai...",Walidata,Pembina Data,Produsen Data,Pengguna Data,Semua salah,B,Kunci Jawaban: Pembina Data
UPKP,TSI,Kerahasiaan data responden (identitas individu/perusahaan) dalam kegiatan statistik BPS...,Boleh dipublikasikan jika dibayar,Dijamin dan dilindungi oleh Undang-Undang,Hanya dirahasiakan selama 1 tahun,Boleh disebarkan ke instansi lain secara bebas,Tidak diatur dalam hukum,B,Kunci Jawaban: Dijamin dan dilindungi oleh Undang-Undang
UPKP,TSI,Diseminasi data BPS kepada publik biasanya dilakukan secara serentak dan transparan melalui...,Pesan WhatsApp,Berita Resmi Statistik (BRS) dan website resmi,Bocoran ke media massa,Surat rahasia,Pengumuman di televisi komersial secara eksklusif,B,Kunci Jawaban: Berita Resmi Statistik (BRS) dan website resmi
UPKP,TSI,Publikasi tahunan BPS yang menyajikan gambaran komprehensif suatu wilayah disebut...,Statistik Kesejahteraan Rakyat,Dalam Angka (Daerah Dalam Angka),Indikator Ekonomi,Profil Kemiskinan,Produk Domestik Regional Bruto,B,Kunci Jawaban: Dalam Angka (Daerah Dalam Angka)
UPKP,TSI,Kualitas data statistik sangat dipengaruhi oleh fenomena *non-sampling error*. Contoh *non-sampling error* adalah...,Kesalahan rumus estimasi varians,Responden memberikan jawaban yang tidak jujur (response error),Ukuran sampel terlalu kecil,Penggunaan metode simple random sampling,Standar error yang tinggi,B,Kunci Jawaban: Responden memberikan jawaban yang tidak jujur (response error)
UPKP,TSI,Pengembangan *Computer Assisted Personal Interviewing (CAPI)* oleh BPS bertujuan untuk...,Meningkatkan penggunaan kertas,Memperlambat proses pengolahan,Meningkatkan kualitas data dan kecepatan pengumpulan data lapangan,Menurunkan kompetensi petugas,Menghindari penggunaan internet,C,Kunci Jawaban: Meningkatkan kualitas data dan kecepatan pengumpulan data lapangan
UPKP,TSI,Sasaran strategis BPS dalam hal SDM adalah...,Pengurangan pegawai besar-besaran,"Mewujudkan SDM statistik yang profesional, kompeten, dan berintegritas",Memperbanyak tenaga honorer,Pemberhentian pelatihan pegawai,Memindahkan semua pegawai ke pusat,B,"Kunci Jawaban: Mewujudkan SDM statistik yang profesional, kompeten, dan berintegritas"
UPKP,TKP,Pemanfaatan teknologi informasi untuk meningkatkan efisiensi operasional perkantoran dalam pemerintah disebut...,Sistem Informasi Geografis,E-Government (SPBE),Sosial Media Marketing,Cyber Security,E-Commerce,B,Kunci Jawaban: E-Government (SPBE)
UPKP,TKP,The correct English translation for 'Pembangunan Berkelanjutan' is...,Continuous Building,Sustainable Development,Endless Constructing,Steady Progress,Green Economy,B,Kunci Jawaban: Sustainable Development
UPKP,TKP,Aplikasi pengolah kata (Word Processor) yang paling umum digunakan untuk membuat laporan adalah...,Microsoft Excel,Microsoft Access,Microsoft Word,Adobe Photoshop,Corel Draw,C,Kunci Jawaban: Microsoft Word
UPKP,TKP,Rumus (function) pada Microsoft Excel yang digunakan untuk menjumlahkan sekumpulan data numerik adalah...,AVERAGE,MAX,MIN,SUM,VLOOKUP,D,Kunci Jawaban: SUM
UPKP,TKP,"Dalam dunia jaringan komputer, LAN merupakan singkatan dari...",Local Area Network,Large Area Network,Local Access Node,Logical Area Network,Linked Area Network,A,Kunci Jawaban: Local Area Network
UPKP,TKP,What is the synonym of 'Significant'?,Trivial,Unimportant,Meaningful,Tiny,Hidden,C,Kunci Jawaban: Meaningful
UPKP,TKP,Penyimpanan data yang dilakukan melalui server internet dan dapat diakses kapan saja disebut...,Harddisk drive,Flashdisk,Cloud Storage,Floppy Disk,Optical Disk,C,Kunci Jawaban: Cloud Storage
UPKP,TKP,Please fill in the blank: The statistical report ___ published yesterday.,is,was,are,were,be,B,Kunci Jawaban: was
UPKP,TKP,Tindakan kejahatan berupa manipulasi atau penipuan melalui email untuk mencuri data sensitif disebut...,Hacking,Phishing,Carding,Defacing,Spamming,B,Kunci Jawaban: Phishing
UPKP,TKP,"Untuk melakukan presentasi, perangkat lunak yang paling relevan adalah...",Microsoft Word,Microsoft PowerPoint,Notepad,Microsoft Publisher,Paint,B,Kunci Jawaban: Microsoft PowerPoint
UPKP,TKP,What does 'Confidential' mean?,Public,Open,Secret/Private,Loud,Available,C,Kunci Jawaban: Secret/Private
UPKP,TKP,Perangkat lunak yang berfungsi sebagai jembatan antara perangkat keras komputer dengan pengguna adalah...,Aplikasi,Sistem Operasi (OS),Antivirus,Web Browser,Game,B,Kunci Jawaban: Sistem Operasi (OS)
UPKP,TKP,Tanda tangan digital (digital signature) pada dokumen elektronik berfungsi untuk...,Menghias dokumen,Menjamin keaslian dan integritas dokumen,Meningkatkan ukuran file,Membatasi siapa yang bisa membaca,Menghapus virus,B,Kunci Jawaban: Menjamin keaslian dan integritas dokumen
UPKP,TKP,Manakah penulisan alamat email yang benar secara format standar?,user@domain.com,user.domain@com,user@.com,user#domain.com,@userdomain.com,A,Kunci Jawaban: user@domain.com
UPKP,TKP,"In English, a 'Survey' is defined as...",A tool for building houses,A method for collecting data from a sample,A type of vehicle,A computer program,A statistical error,B,Kunci Jawaban: A method for collecting data from a sample
UKOM PJL,Metodologi Survei,"Seorang dokter memilih secara acak 300 pasien... Kelemahan metode sampling tersebut (Simple Random Sampling) adalah sebagai berikut, kecuali....",cocok untuk populasi yang relatif homogen,"butuh kerangka sampel sampai elemen, biaya tinggi",biaya tinggi untuk populasi yang besar,subgrup yang minoritas juga sangat mungkin tidak akan terwakili,teknik estimasi parameternya tidak rumit,E,Kunci Jawaban: teknik estimasi parameternya tidak rumit
UKOM PJL,Metodologi Survei,Pernyataan yang salah terkait systematic sampling adalah....,pengurutan unit sampling akan memperbesar varians,"dengan pengurutan tertentu, sampel akan lebih representatif",tidak cocok diterapkan untuk populasi dengan variasi periodik,pengurutan unit sampling akan memperkecil varians,penarikan sampel lebih mudah dan cepat,A,Kunci Jawaban: pengurutan unit sampling akan memperbesar varians
UKOM PJL,Pengumpulan Data,Apa yang dimaksud dengan teknik pengumpulan data melalui wawancara?,Menggunakan buku biografi,Mengajukan pertanyaan tertulis,Melakukan pengamatan,Tanya jawab sambil bertatap muka antara pewawancara dengan responden,Menggunakan buku autobiografi,D,Kunci Jawaban: Tanya jawab sambil bertatap muka antara pewawancara dengan responden
UKOM PJL,Analisis Data,Pengertian angka indeks harga yang paling tepat adalah Angka indeks yang menunjukkan perubahan....,Perubahan nilai dan harga,jumlah dan harga,jumlah,harga dari periode ke periode lainnya,Nilai,D,Kunci Jawaban: harga dari periode ke periode lainnya
UKOM PJL,Manajemen Data,Kelemahan non probability sampling:,"1, 2, dan 4","1, 3, dan 4","1, 2, dan 3",1 dan 2,"2, 3, dan 4",A,"Kunci Jawaban: 1, 2, dan 4"
UKOM PJL,Estimasi,"Dalam pengambilan sampel acak sederhana, rata-rata sampel adalah penduga yang tidak bias untuk rata-rata populasi karena....",rata-rata sampel dari semua sampel yang mungkin bila dirata-ratakan sama dengan rata-rata populasi,rata-rata sampel mengikuti distribusi populasi,rata-rata sampel selalu sama dengan populasi,rata-rata berdistribusi normal,rata-rata sangat dekat populasi,A,Kunci Jawaban: rata-rata sampel dari semua sampel yang mungkin bila dirata-ratakan sama dengan rata-rata populasi
UKOM PJL,Analisis Regresi,"Berikut ini adalah asumsi klasik regresi linear, kecuali....",multikolinearitas,linearitas,Goodness of Fit,autokorelasi,homoskedastisitas,C,Kunci Jawaban: Goodness of Fit
UKOM PJL,Konsep Dasar Statistik,"Dalam konteks Konsep Dasar Statistik, konsep ini menjelaskan tentang kualitas data dengan pendekatan yang sangat spesifik. Hal utama yang membedakannya dengan metode lain adalah...",Akurasi metode,Biaya operasional,Waktu pengumpulan,Tingkat respons,Validitas data,A,Kunci Jawaban: Akurasi metode
UKOM PJL,Konsep Dasar Statistik,"Dalam konteks Konsep Dasar Statistik, konsep ini menjelaskan tentang varians sampel dengan pendekatan yang sangat spesifik. Hal utama yang membedakannya dengan metode lain adalah...",Akurasi metode,Biaya operasional,Waktu pengumpulan,Tingkat respons,Validitas data,B,Kunci Jawaban: Biaya operasional
UKOM PJL,Konsep Dasar Statistik,"Dalam konteks Konsep Dasar Statistik, konsep ini menjelaskan tentang populasi target dengan pendekatan yang sangat spesifik. Hal utama yang membedakannya dengan metode lain adalah...",Akurasi metode,Biaya operasional,Waktu pengumpulan,Tingkat respons,Validitas data,C,Kunci Jawaban: Waktu pengumpulan
UKOM PJL,Konsep Dasar Statistik,"Dalam konteks Konsep Dasar Statistik, konsep ini menjelaskan tentang kerangka sampel dengan pendekatan yang sangat spesifik. Hal utama yang membedakannya dengan metode lain adalah...",Akurasi metode,Biaya operasional,Waktu pengumpulan,Tingkat respons,Validitas data,D,Kunci Jawaban: Tingkat respons
